week_number,date,month,year,channel_code,channel_name,subject_id,subject_title,amount,rpm_range
1,2026-01-06,1,2026,FV,Financial Vice,FV001,Jim Bakker - PTL Ministry Scandal,$158M,$20-40
1,2026-01-06,1,2026,CFF,Crypto Forensic Files,CFF001,QuadrigaCX - Gerald Cotten Death Mystery,$190M,$25-45
2,2026-01-13,1,2026,FV,Financial Vice,FV002,Robert Tilton - Success-N-Life Prayer Scam,$80M+,$20-40
2,2026-01-13,1,2026,CFF,Crypto Forensic Files,CFF002,Mt. Gox - Original Bitcoin Heist,$460M,$25-45
3,2026-01-20,1,2026,FV,Financial Vice,FV003,Peter Popoff - Faith Healing Earpiece Scam,$23M+,$20-40
3,2026-01-20,1,2026,CFF,Crypto Forensic Files,CFF003,BitConnect - $2.4B Ponzi (Hey Hey Hey),$2.4B,$25-45
4,2026-01-27,1,2026,FV,Financial Vice,FV004,Creflo Dollar - $65M Private Jet Request,$65M,$20-40
4,2026-01-27,1,2026,CFF,Crypto Forensic Files,CFF004,Cryptopia - Hack That Killed NZ Exchange,$16M,$25-45
5,2026-02-03,2,2026,FV,Financial Vice,FV005,Scientology - IRS Tax Battle Victory,$1B+,$20-40
5,2026-02-03,2,2026,CFF,Crypto Forensic Files,CFF005,Thodex - Turkey's Exchange Vanished Overnight,$2B,$25-45
6,2026-02-10,2,2026,FV,Financial Vice,FV006,LDS Ensign Peak - $100B Hidden Fund,$100B+,$20-40
6,2026-02-10,2,2026,CFF,Crypto Forensic Files,CFF006,Africrypt - South African Brothers Disappearance,$3.6B,$25-45
7,2026-02-17,2,2026,FV,Financial Vice,FV007,Hillsong Church - Global Megachurch Scandal,$100M+,$20-40
7,2026-02-17,2,2026,CFF,Crypto Forensic Files,CFF007,JPEX - Hong Kong Unlicensed Collapse,$200M,$25-45
8,2026-02-24,2,2026,FV,Financial Vice,FV008,Kenneth Copeland - Ministry Empire,$760M+,$20-40
8,2026-02-24,2,2026,CFF,Crypto Forensic Files,CFF008,Voyager Digital - Nasdaq to Bankruptcy,$1.3B,$25-45
9,2026-03-03,3,2026,FV,Financial Vice,FV009,Sam Bankman-Fried - FTX Collapse,$8B,$20-40
